4ZG3, 1.378
5EPW, 0.918409
5LQ4, 1.7712
5LQ4, 3.0955
5OFR, 2.26
5TCL, 4.95937
6DZ1, 3.35
6EQD, 2.4551
6EQE, 1.2398
6HJ4, 0.9795
6HJ4, 2.7552
6JJF, 1.5895
6JJF, 3.3509
6JJF, 1.5895
6JJH, 1.7712
6JJH, 3.3509
6OWX, 2.3843
6P4E, 0.9686
6Q57, 1.0
6QNQ, 1.0
6QNQ, 3.351
6QNQ, 3.542
6QNQ, 3.531
6QNQ, 3.542
6QNR, 1.0
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6QX2, 0.9795
6STL, 0.9763
6STL, 2.3751
6TKC, 2.755
6TKE, 2.755
6TQI, 1.0
6TQI, 3.0996
6TQI, 0.92007
6VKF, 0.979
6VKF, 2.7551
6W7C, 1.03321
6W7C, 2.75
6W84, 1.0332
6W84, 2.75
6W85, 1.0332
6W85, 2.75
6W8C, 1.03321
6W8C, 2.75
6Y4L, 0.9763
6Y4L, 2.755
6YO1, 2.26
6YSO, 2.26009
6ZPS, 2.755
6ZPV, 1.3775
7O56, 2.7552
7PK2, 0.9762
7PK2, 2.755
7S6F, 2.7552
7ZSF, 0.9796
7ZSF, 4.42801
7ZSF, 4.27532
8ABT, 0.97625
8ABT, 2.7552
